video_name,frame_idx,prompt,cosine,jaccard,bleu,meteor,rouge_l,bert
Idle,114,blank,0.2882693409919739,0.10909090909090909,0.0062979505304957975,0.17667844522968196,0.13157894736842107,0.8531188368797302
Idle,114,determine,0.6435238122940063,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.897883951663971
Idle,114,bodyanalysis,0.6149013638496399,0.1509433962264151,0.07391706107940355,0.28125363752764515,0.2564102564102564,0.8789310455322266
Idle,114,context,0.6632816195487976,0.2,0.020394850770307917,0.17546867855509832,0.2777777777777778,0.8982582688331604
Idle,114,objective,0.6632816195487976,0.2,0.020394850770307917,0.17546867855509832,0.2777777777777778,0.8982582688331604
Idle,122,blank,0.28294050693511963,0.08955223880597014,0.007555692436086808,0.17857142857142858,0.13861386138613863,0.8519743084907532
Idle,122,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,122,bodyanalysis,0.5563971996307373,0.06756756756756757,0.00681357726090222,0.18776547179548256,0.1523809523809524,0.8569369912147522
Idle,122,context,0.6632816195487976,0.2,0.020394850770307917,0.17546867855509832,0.2777777777777778,0.8982582688331604
Idle,122,objective,0.6816942095756531,0.17857142857142858,0.02820924683814341,0.20776874435411022,0.2564102564102564,0.8870140910148621
Idle,130,blank,0.3445744514465332,0.12727272727272726,0.010713693374200367,0.2561969521604939,0.19753086419753085,0.8521586656570435
Idle,130,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,130,bodyanalysis,0.5748025178909302,0.1,0.010070319017053691,0.23878550880978067,0.1568627450980392,0.861766517162323
Idle,130,context,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,130,objective,0.6816942095756531,0.17857142857142858,0.02820924683814341,0.20776874435411022,0.2564102564102564,0.8870140910148621
Idle,138,blank,0.2851085662841797,0.09230769230769231,0.008237593849286897,0.22740955612719613,0.14736842105263157,0.8523715138435364
Idle,138,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,138,bodyanalysis,0.5590083599090576,0.08974358974358974,0.036699129173951996,0.3167640415881134,0.16216216216216214,0.86066073179245
Idle,138,context,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,138,objective,0.6816942095756531,0.17857142857142858,0.02820924683814341,0.20776874435411022,0.2564102564102564,0.8870140910148621
Idle,146,blank,0.32580989599227905,0.10606060606060606,0.007757354593159476,0.22297949983900398,0.15841584158415842,0.8528730869293213
Idle,146,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,146,bodyanalysis,0.6163915395736694,0.15254237288135594,0.05345988714629295,0.3462558661497654,0.24096385542168672,0.8795295357704163
Idle,146,context,0.6632816195487976,0.2,0.020394850770307917,0.17546867855509832,0.2777777777777778,0.8982582688331604
Idle,146,objective,0.6170728206634521,0.16129032258064516,0.0407654625752158,0.13888888888888887,0.26666666666666666,0.8922239542007446
Idle,154,blank,0.35039693117141724,0.10909090909090909,0.011296250966348594,0.176056338028169,0.18181818181818182,0.8527951836585999
Idle,154,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,154,bodyanalysis,0.5602518320083618,0.08974358974358974,0.0345767225596389,0.2867762714403415,0.16363636363636364,0.8601439595222473
Idle,154,context,0.6632816195487976,0.2,0.020394850770307917,0.17546867855509832,0.2777777777777778,0.8982582688331604
Idle,154,objective,0.6816942095756531,0.17857142857142858,0.02820924683814341,0.20776874435411022,0.2564102564102564,0.8870140910148621
Idle,162,blank,0.29472196102142334,0.09210526315789473,0.006354646403614648,0.16975308641975306,0.13675213675213674,0.8458125591278076
Idle,162,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,162,bodyanalysis,0.5523719787597656,0.11764705882352941,0.014733394190808125,0.263379355687048,0.1818181818181818,0.8607169985771179
Idle,162,context,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,162,objective,0.6170728206634521,0.16129032258064516,0.0407654625752158,0.13888888888888887,0.26666666666666666,0.8922239542007446
Idle,170,blank,0.3169940710067749,0.06451612903225806,0.004707378393706195,0.11986301369863012,0.13953488372093023,0.8483055830001831
Idle,170,determine,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
Idle,170,bodyanalysis,0.5878182053565979,0.12345679012345678,0.008452508050159863,0.2397438894983903,0.18032786885245902,0.8647946715354919
Idle,170,context,0.6458542346954346,0.15384615384615385,0.019288258982890678,0.15308641975308643,0.2222222222222222,0.8948289752006531
