video_name,frame_idx,prompt_type,cosine
Idle,114,blank,0.4922579526901245
Idle,114,determine,0.45495909452438354
Idle,114,body,0.39654260873794556
Idle,114,context,0.3267272710800171
Idle,114,objective,0.4253840148448944
Idle,122,blank,0.48119497299194336
Idle,122,determine,0.6198535561561584
Idle,122,body,0.5590466260910034
Idle,122,context,0.557900071144104
Idle,122,objective,0.4951525628566742
Idle,130,blank,0.5306528806686401
Idle,130,determine,0.5267812013626099
Idle,130,body,0.4632282853126526
Idle,130,context,0.43873387575149536
Idle,130,objective,0.5473926067352295
Idle,138,blank,0.44747012853622437
Idle,138,determine,0.4169137477874756
Idle,138,body,0.43872731924057007
Idle,138,context,0.4452853798866272
Idle,138,objective,0.41580480337142944
Idle,146,blank,0.4493633508682251
Idle,146,determine,0.5747734308242798
Idle,146,body,0.5780725479125977
Idle,146,context,0.6107709407806396
Idle,146,objective,0.5408481955528259
Idle,154,blank,0.5313141345977783
Idle,154,determine,0.48350635170936584
Idle,154,body,0.374017596244812
Idle,154,context,0.43873387575149536
Idle,154,objective,0.5265871286392212
Idle,162,blank,0.46221110224723816
Idle,162,determine,0.4164896607398987
Idle,162,body,0.5598772764205933
Idle,162,context,0.5201032161712646
Idle,162,objective,0.4542796015739441
Idle,170,blank,0.5620280504226685
Idle,170,determine,0.6128174662590027
Idle,170,body,0.5105557441711426
Idle,170,context,0.5257792472839355
Idle,170,objective,0.48333898186683655
Idle,178,blank,0.5379142165184021
Idle,178,determine,0.49468499422073364
Idle,178,body,0.4308754801750183
Idle,178,context,0.5248128175735474
Idle,178,objective,0.3898929953575134
Stop + pass,51,blank,0.5478618144989014
Stop + pass,51,determine,0.4516100585460663
Stop + pass,51,body,0.6006773710250854
Stop + pass,51,context,0.3626898527145386
Stop + pass,51,objective,0.4247359037399292
Stop + pass,59,blank,0.6354207396507263
Stop + pass,59,determine,0.6469922661781311
Stop + pass,59,body,0.6156312227249146
Stop + pass,59,context,0.6273484826087952
Stop + pass,59,objective,0.5784151554107666
Stop + pass,67,blank,0.3838391900062561
Stop + pass,67,determine,0.5662907361984253
Stop + pass,67,body,0.49366480112075806
Stop + pass,67,context,0.43805208802223206
Stop + pass,67,objective,0.43116164207458496
Stop + pass,75,blank,0.28859978914260864
Stop + pass,75,determine,0.4382733404636383
Stop + pass,75,body,0.4151809811592102
Stop + pass,75,context,0.5078895688056946
Stop + pass,75,objective,0.6062856912612915
Stop + pass,83,blank,0.6121466755867004
Stop + pass,83,determine,0.5986869931221008
Stop + pass,83,body,0.5182554721832275
Stop + pass,83,context,0.6022560596466064
Stop + pass,83,objective,0.6384613513946533
Stop + pass,91,blank,0.5168982744216919
Stop + pass,91,determine,0.6258960366249084
Stop + pass,91,body,0.6115787029266357
Stop + pass,91,context,0.42410004138946533
Stop + pass,91,objective,0.4610757827758789
Stop + pass,99,blank,0.4324192702770233
Stop + pass,99,determine,0.51941978931427
Stop + pass,99,body,0.4290285110473633
Stop + pass,99,context,0.6038035750389099
Stop + pass,99,objective,0.4311235547065735
Go left,89,blank,0.3380351662635803
Go left,89,determine,0.30141961574554443
Go left,89,body,0.5007372498512268
Go left,89,context,0.4580509662628174
Go left,89,objective,0.46781808137893677
Go left,97,blank,0.5157649517059326
Go left,97,determine,0.39510178565979004
Go left,97,body,0.5527428388595581
Go left,97,context,0.41232797503471375
Go left,97,objective,0.30321937799453735
Go left,105,blank,0.35139238834381104
Go left,105,determine,0.45498931407928467
Go left,105,body,0.47580063343048096
Go left,105,context,0.4240267276763916
Go left,105,objective,0.4795476198196411
Go left,113,blank,0.39771997928619385
Go left,113,determine,0.4128386974334717
Go left,113,body,0.37391743063926697
Go left,113,context,0.47316408157348633
Go left,113,objective,0.4307582974433899
Go left,121,blank,0.31759607791900635
Go left,121,determine,0.5268144607543945
Go left,121,body,0.4629688262939453
Go left,121,context,0.565685510635376
Go left,121,objective,0.4949963390827179
Go left,129,blank,0.4343268573284149
Go left,129,determine,0.4538402259349823
Go left,129,body,0.5257798433303833
Go left,129,context,0.586938202381134
Go left,129,objective,0.5171260237693787
Go left,137,blank,0.39440423250198364
Go left,137,determine,0.36140337586402893
Go left,137,body,0.5064563751220703
Go left,137,context,0.5210382342338562
Go left,137,objective,0.5684980750083923
Go left,145,blank,0.5485588908195496
Go left,145,determine,0.37020450830459595
Go left,145,body,0.355497270822525
Go left,145,context,0.6033891439437866
Go left,145,objective,0.5134984850883484
Go left,153,blank,0.4999876320362091
Go left,153,determine,0.5216478109359741
Go left,153,body,0.4186100363731384
Go left,153,context,0.5189780592918396
Go left,153,objective,0.5568476915359497
Go left,161,blank,0.3186904191970825
Go left,161,determine,0.3076168894767761
Go left,161,body,0.3254930377006531
Go left,161,context,0.38453131914138794
Go left,161,objective,0.469136118888855
Go left,169,blank,0.5777090191841125
Go left,169,determine,0.4740372896194458
Go left,169,body,0.4585830569267273
Go left,169,context,0.5849788188934326
Go left,169,objective,0.4839566946029663
Go left,177,blank,0.3987003564834595
Go left,177,determine,0.3951451778411865
Go left,177,body,0.4156253933906555
Go left,177,context,0.4757835865020752
Go left,177,objective,0.3493676781654358
Go left,185,blank,0.43342310190200806
Go left,185,determine,0.46172386407852173
Go left,185,body,0.42744261026382446
Go left,185,context,0.42824506759643555
Go left,185,objective,0.5042588710784912
Go left,193,blank,0.49226611852645874
Go left,193,determine,0.4241452217102051
Go left,193,body,0.42507854104042053
Go left,193,context,0.5283955931663513
Go left,193,objective,0.45880642533302307
Go left,201,blank,0.40823450684547424
Go left,201,determine,0.42536574602127075
Go left,201,body,0.38280096650123596
Go left,201,context,0.4869228005409241
