video_name,frame_idx,action,action_id
video_0153.mp4,2,Constant Speed,0
video_0153.mp4,3,Constant Speed,0
video_0153.mp4,4,Constant Speed,0
video_0153.mp4,5,Constant Speed,0
video_0153.mp4,6,Constant Speed,0
video_0153.mp4,7,Constant Speed,0
video_0153.mp4,8,Constant Speed,0
video_0153.mp4,9,Constant Speed,0
video_0153.mp4,10,Constant Speed,0
video_0153.mp4,11,Constant Speed,0
video_0153.mp4,12,Constant Speed,0
video_0153.mp4,13,Constant Speed,0
video_0153.mp4,14,Constant Speed,0
video_0153.mp4,15,Constant Speed,0
video_0153.mp4,16,Constant Speed,0
video_0153.mp4,17,Constant Speed,0
video_0153.mp4,18,Constant Speed,0
video_0153.mp4,19,Constant Speed,0
video_0153.mp4,20,Constant Speed,0
video_0153.mp4,21,Constant Speed,0
video_0153.mp4,22,Constant Speed,0
video_0153.mp4,23,Constant Speed,0
video_0153.mp4,24,Constant Speed,0
video_0153.mp4,25,Constant Speed,0
video_0153.mp4,26,Constant Speed,0
video_0153.mp4,27,Constant Speed,0
video_0153.mp4,28,Constant Speed,0
video_0153.mp4,29,Constant Speed,0
video_0153.mp4,30,Constant Speed,0
video_0153.mp4,31,Constant Speed,0
video_0153.mp4,32,Constant Speed,0
video_0153.mp4,33,Constant Speed,0
video_0153.mp4,34,Constant Speed,0
video_0153.mp4,35,Constant Speed,0
video_0153.mp4,36,Constant Speed,0
video_0153.mp4,37,Constant Speed,0
video_0153.mp4,38,Constant Speed,0
video_0153.mp4,39,Constant Speed,0
video_0153.mp4,40,Constant Speed,0
video_0153.mp4,41,Constant Speed,0
video_0153.mp4,42,Constant Speed,0
video_0153.mp4,43,Constant Speed,0
video_0153.mp4,44,Constant Speed,0
video_0153.mp4,45,Constant Speed,0
video_0153.mp4,46,Constant Speed,0
video_0153.mp4,47,Constant Speed,0
video_0153.mp4,48,Constant Speed,0
video_0153.mp4,49,Constant Speed,0
video_0153.mp4,50,Constant Speed,0
video_0153.mp4,51,Constant Speed,0
video_0153.mp4,52,Constant Speed,0
video_0153.mp4,53,Constant Speed,0
video_0153.mp4,54,Constant Speed,0
video_0153.mp4,55,Constant Speed,0
video_0153.mp4,56,Constant Speed,0
video_0153.mp4,57,Constant Speed,0
video_0153.mp4,58,Constant Speed,0
video_0153.mp4,59,Constant Speed,0
video_0153.mp4,60,Constant Speed,0
video_0153.mp4,61,Constant Speed,0
video_0153.mp4,62,Constant Speed,0
video_0153.mp4,63,Constant Speed,0
video_0153.mp4,64,Constant Speed,0
video_0153.mp4,65,Constant Speed,0
video_0153.mp4,66,Constant Speed,0
video_0153.mp4,67,Constant Speed,0
video_0153.mp4,68,Constant Speed,0
video_0153.mp4,69,Constant Speed,0
video_0153.mp4,70,Constant Speed,0
video_0153.mp4,71,Constant Speed,0
video_0153.mp4,72,Constant Speed,0
video_0153.mp4,73,Constant Speed,0
video_0153.mp4,74,Constant Speed,0
video_0153.mp4,75,Constant Speed,0
video_0153.mp4,76,Constant Speed,0
video_0153.mp4,77,Constant Speed,0
video_0153.mp4,78,Constant Speed,0
video_0153.mp4,79,Constant Speed,0
video_0153.mp4,80,Constant Speed,0
video_0153.mp4,81,Constant Speed,0
video_0153.mp4,82,Constant Speed,0
video_0153.mp4,83,Constant Speed,0
video_0153.mp4,84,Constant Speed,0
video_0153.mp4,85,Constant Speed,0
video_0153.mp4,86,Constant Speed,0
video_0153.mp4,87,Constant Speed,0
video_0153.mp4,88,Constant Speed,0
video_0153.mp4,89,Constant Speed,0
video_0153.mp4,90,Constant Speed,0
video_0153.mp4,91,Constant Speed,0
video_0153.mp4,92,Constant Speed,0
video_0153.mp4,93,Constant Speed,0
video_0153.mp4,94,Constant Speed,0
video_0153.mp4,95,Constant Speed,0
video_0153.mp4,96,Constant Speed,0
video_0153.mp4,97,Constant Speed,0
video_0153.mp4,98,Constant Speed,0
video_0153.mp4,99,Constant Speed,0
video_0153.mp4,100,Constant Speed,0
video_0153.mp4,101,Constant Speed,0
video_0153.mp4,102,Constant Speed,0
video_0153.mp4,103,Constant Speed,0
