video_name,frame_idx,prompt_type,cosine,jaccard,bleu,meteor,rouge_l,bert
Go forward,107,,0.40225949883461,0.1891891891891892,0.008151544081210053,0.17291066282420747,0.2333333333333333,0.8748255968093872
Go forward,115,,0.4438091516494751,0.13953488372093023,0.005274148464895966,0.08997429305912595,0.22580645161290325,0.8785428404808044
Go forward,123,,0.4917142689228058,0.16666666666666666,0.006059564114211884,0.14412416851441243,0.15789473684210525,0.8753976821899414
Go forward,131,,0.41489794850349426,0.08888888888888889,0.006491964545816428,0.10850494043771354,0.1492537313432836,0.855924129486084
Go forward,139,,0.5477213859558105,0.09259259259259259,0.0047575470115873205,0.1482213438735178,0.19277108433734938,0.8695691227912903
Go forward,147,,0.5219277143478394,0.11764705882352941,0.007798635874757035,0.13466212931453572,0.125,0.8742356896400452
Go forward,155,,0.5639397501945496,0.11904761904761904,0.0021443763740186324,0.1166735197368421,0.12121212121212122,0.8800215125083923
Go forward,163,,0.4917454421520233,0.09090909090909091,0.006888997350915292,0.1318189749528085,0.19512195121951217,0.875733494758606
Go forward,171,,0.45154619216918945,0.1590909090909091,0.011584199128353418,0.1238738738738739,0.2105263157894737,0.8727263808250427
Follow,36,,0.36474210023880005,0.10638297872340426,0.00023064015083087096,0.04739336492890995,0.14634146341463414,0.849882185459137
Follow,44,,0.26644065976142883,0.06818181818181818,1.7478133095102509e-06,0.024271844660194178,0.0810810810810811,0.861154317855835
Follow,52,,0.4018446207046509,0.1,0.0006042194064592545,0.06379585326953748,0.11904761904761905,0.8619840145111084
Follow,60,,0.556574285030365,0.18181818181818182,0.002936118597491614,0.10460251046025106,0.19607843137254902,0.8767980337142944
Follow,68,,0.4598032236099243,0.1568627450980392,0.003802054670445461,0.11230551327583291,0.15555555555555553,0.8701660633087158
Getting a cap,218,,0.5115218758583069,0.16666666666666666,0.0040326606316280185,0.1366120218579235,0.21176470588235294,0.886460542678833
Getting a cap,226,,0.5464352369308472,0.14545454545454545,0.0064585019953006355,0.1605495413822526,0.17582417582417584,0.8822157382965088
Getting a cap,234,,0.4218415319919586,0.10204081632653061,0.0013639242898747888,0.058333333333333334,0.15,0.8662220239639282
Getting a cap,242,,0.46785610914230347,0.09836065573770492,0.004036016794079981,0.08136094674556213,0.1188118811881188,0.8669008612632751
Getting a cap,250,,0.459514319896698,0.07692307692307693,0.008221236253775901,0.1026694045174538,0.14814814814814817,0.8775126934051514
Go left,89,,0.6763737201690674,0.3333333333333333,0.0201816778004586,0.2788043165053019,0.2857142857142857,0.8957953453063965
Go left,97,,0.5131173133850098,0.20833333333333334,0.008576303884099131,0.12817417043153134,0.1894736842105263,0.870114266872406
Go left,105,,0.5620935559272766,0.14,0.008347812336969813,0.11627906976744186,0.22727272727272727,0.886584460735321
Go left,113,,0.6715777516365051,0.09433962264150944,0.0068790593707977144,0.08928571428571427,0.20224719101123598,0.8737871050834656
Go left,121,,0.7701597213745117,0.2,0.014166362025524456,0.166259765625,0.22680412371134023,0.8942843675613403
Go left,129,,0.7777157425880432,0.17857142857142858,0.023053741409319026,0.19921630094043888,0.25,0.886076033115387
Go left,137,,0.8029844760894775,0.13725490196078433,0.014507061510175593,0.13683076654342194,0.23423423423423423,0.8975988626480103
Go left,145,,0.8037636876106262,0.1864406779661017,0.021085332499145123,0.18442616470111983,0.2047244094488189,0.8913782238960266
Go left,153,,0.7820237874984741,0.14516129032258066,0.023190740253679645,0.18857566765578632,0.2113821138211382,0.8877093195915222
Go left,161,,0.6428372263908386,0.14285714285714285,0.001169192240333169,0.09244992295839753,0.1348314606741573,0.8665640354156494
Go left,169,,0.7104861736297607,0.2727272727272727,0.03228605914305353,0.24857237536702087,0.2926829268292683,0.8974131941795349
Go left,177,,0.6899247765541077,0.18181818181818182,0.0119758492788785,0.16331951910524845,0.26666666666666666,0.893952488899231
Go left,185,,0.7560896873474121,0.17307692307692307,0.011439073347816167,0.1610993685787671,0.20618556701030927,0.8883994817733765
Go left,193,,0.7724704146385193,0.17647058823529413,0.010554505500266232,0.16770415552584672,0.28888888888888886,0.8945333361625671
Go left,201,,0.7392168045043945,0.1702127659574468,0.008819901191327934,0.12896825396825398,0.2222222222222222,0.8966838717460632
Go left,209,,0.7033761143684387,0.1276595744680851,0.00986195275097277,0.1051625239005736,0.28235294117647064,0.8890326023101807
Idle,114,,0.5826747417449951,0.21052631578947367,0.01923314763670773,0.17045454545454544,0.3448275862068965,0.8850853443145752
Idle,122,,0.6235588788986206,0.12195121951219512,0.008840994001530048,0.1310861423220974,0.19999999999999998,0.8950029015541077
Idle,130,,0.6340298056602478,0.21052631578947367,0.01923314763670773,0.17045454545454544,0.3448275862068965,0.8851955533027649
Idle,138,,0.5826747417449951,0.21052631578947367,0.01923314763670773,0.17045454545454544,0.3448275862068965,0.8850853443145752
Idle,146,,0.6235588788986206,0.12195121951219512,0.008840994001530048,0.1310861423220974,0.19999999999999998,0.8950029015541077
Idle,154,,0.6340298056602478,0.21052631578947367,0.01923314763670773,0.17045454545454544,0.3448275862068965,0.8851955533027649
Idle,162,,0.5826747417449951,0.21052631578947367,0.01923314763670773,0.17045454545454544,0.3448275862068965,0.8850853443145752
Idle,170,,0.6235588788986206,0.12195121951219512,0.008840994001530048,0.1310861423220974,0.19999999999999998,0.8950029015541077
Idle,178,,0.6340298056602478,0.21052631578947367,0.01923314763670773,0.17045454545454544,0.3448275862068965,0.8851955533027649
Reverse,79,,0.4428834319114685
Reverse,87,,0.4356103837490082
Reverse,95,,0.47409892082214355
Reverse,103,,0.48426082730293274
Reverse,111,,0.401725709438324
Reverse,119,,0.4619486927986145
Reverse,127,,0.42478108406066895
Reverse,135,,0.47330141067504883
Stop + pass,51,,0.3954102098941803
Stop + pass,59,,0.5159729719161987
Stop + pass,67,,0.4726513624191284
Stop + pass,75,,0.46397948265075684
Stop + pass,83,,0.573119044303894
Stop + pass,91,,0.5597897171974182
Stop + pass,99,,0.45758652687072754
Stop + drive,87,,0.5314217805862427
Stop + drive,95,,0.46107468008995056
Stop + drive,103,,0.4612928032875061
Stop + drive,111,,0.5240289568901062
Stop + drive,119,,0.5956053733825684
Stop + drive,127,,0.4139222800731659
Stop + drive,135,,0.4677559733390808
Stop + drive,143,,0.5254632234573364
Stop + drive,151,,0.41058486700057983
Stop + drive,159,,0.532063901424408
Stop + drive,167,,0.4878576695919037
